Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,292030,The Witcher 3: Wild Hunt,85185598,schinese,不玩此生遗憾，RPG游戏里的天花板，太吸引人了,1611381629,1611381629,True,0,0,0.0,0,True,False,False,76561199095369542,6,2,1909.0,1448.0,1909.0,1611343383.0
1,292030,The Witcher 3: Wild Hunt,85185250,schinese,拔DIAO无情打桩机--杰洛特!!!,1611381030,1611381030,True,0,0,0.0,0,True,False,False,76561198949504115,30,10,2764.0,2743.0,2674.0,1611386307.0
2,292030,The Witcher 3: Wild Hunt,85185111,schinese,巫师3NB,1611380800,1611380800,True,0,0,0.0,0,True,False,False,76561199090098988,5,1,1061.0,1061.0,1060.0,1611383777.0
3,292030,The Witcher 3: Wild Hunt,85184605,english,"One of the best RPG's of all time, worthy of any collection",1611379970,1611379970,True,0,0,0.0,0,True,False,False,76561199054755373,5,3,5587.0,3200.0,5524.0,1611383744.0
4,292030,The Witcher 3: Wild Hunt,85184287,schinese,大作,1611379427,1611379427,True,0,0,0.0,0,True,False,False,76561199028326951,7,4,217.0,42.0,217.0,1610788249.0
5,292030,The Witcher 3: Wild Hunt,85184171,english,"good story, good graphics. lots to do.",1611379264,1611379264,True,0,0,0.0,0,True,False,False,76561198170193529,11,1,823.0,823.0,823.0,1611379201.0
6,292030,The Witcher 3: Wild Hunt,85184064,english,"dis gud,",1611379091,1611379091,True,0,0,0.0,0,True,False,False,76561198119302812,27,2,4192.0,3398.0,4192.0,1611351734.0
7,292030,The Witcher 3: Wild Hunt,85183602,turkish,".
",1611378312,1611378312,True,0,0,0.0,0,True,False,False,76561199084188849,9,1,2701.0,0.0,2701.0,1609671218.0
8,292030,The Witcher 3: Wild Hunt,85183227,schinese,年度最佳的作品，没啥好夸的，神作,1611377703,1611377703,True,0,0,0.0,0,True,False,False,76561198130808993,581,17,6921.0,222.0,6921.0,1611317275.0
9,292030,The Witcher 3: Wild Hunt,85182785,spanish,great game,1611377005,1611377005,True,0,0,0.0,0,True,False,False,76561198301724112,38,5,2399.0,333.0,2364.0,1611379080.0
10,292030,The Witcher 3: Wild Hunt,85182697,schinese,神作！不bb,1611376831,1611376831,True,0,0,0.0,0,False,False,False,76561199089209577,29,1,5368.0,1471.0,5368.0,1611371665.0
11,292030,The Witcher 3: Wild Hunt,85182372,russian,"Шикарная игра с отличным сюжетом, неплохой графикой и большим открытым миром. В добавок, мой любимый жанр. Всем рекомендую.",1611376281,1611376281,True,0,0,0.0,0,True,False,False,76561198257031328,11,2,508.0,508.0,348.0,1611386568.0
12,292030,The Witcher 3: Wild Hunt,85182067,schinese,"什么?你儿子失踪了?什么?这栋房子闹鬼?什么?你猜到我要玩""来句昆特牌""的梗?
抱歉这个梗我玩一辈子(狗头)",1611375772,1611375772,True,0,0,0.0,0,True,False,False,76561198348941585,20,1,6598.0,29.0,6598.0,1610715923.0
13,292030,The Witcher 3: Wild Hunt,85181146,russian,Замечательная карточная игра в антураже фэнтези-рпг),1611374238,1611374309,True,0,0,0.0,0,True,False,False,76561197987104694,501,23,7310.0,0.0,7310.0,1525554549.0
14,292030,The Witcher 3: Wild Hunt,85181114,koreana,가성비 짱,1611374195,1611374195,True,0,0,0.0,0,True,False,False,76561199120263118,1,1,3285.0,3084.0,3205.0,1611385840.0
15,292030,The Witcher 3: Wild Hunt,85180815,latam,"The witcher 3 es un gran juego RPG, permite gran variedad de decisiones que afectan el rumbo de la historia. Ofrece una gran cantidad de horas de juego, en mi caso 60 horas solo la campaña principal junto con algunos contratos de brujo y secundarias (muy pocas), aún me faltan los dlc´s. En conclusión, si quieres un juego largo, entretenido y con una buena historia, es una muy buena compra.",1611373708,1611373708,True,0,0,0.0,0,True,False,False,76561198301696591,5,1,3586.0,0.0,3586.0,1609390978.0
16,292030,The Witcher 3: Wild Hunt,85180734,schinese,当你玩进去之后，一切都顺理成章了起来,1611373593,1611373593,True,0,0,0.0,0,True,False,False,76561198985671330,9,1,5483.0,2184.0,5483.0,1611371203.0
